operation_id,container_id,operation_type,location_id,resource_id,planned_start,planned_end,due_time,lateness_minutes,dependencies,critical_path_minutes
VRYU0000009:GATE_READY,VRYU0000009,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:12:00,2026-06-08T07:23:00,2026-06-09T22:00:00,0,"[""VRYU0000009:DISCHARGE""]",499
BDEU0000008:DISCHARGE,BDEU0000008,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:13:00,2026-06-08T07:32:00,2026-06-09T14:54:00,0,[],389
YYBU0000006:DRAY_IN,YYBU0000006,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T07:13:00,2026-06-08T08:11:00,2026-06-09T20:42:00,0,"[""YYBU0000006:GATE_READY""]",503
AXIU0000001:RECEIVE,AXIU0000001,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T07:22:00,2026-06-08T07:49:00,2026-06-10T11:12:00,0,"[""AXIU0000001:DRAY_IN""]",252
SGWU0000004:DISCHARGE,SGWU0000004,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:23:00,2026-06-08T07:39:00,2026-06-09T14:30:00,0,[],386
VRYU0000009:DRAY_IN,VRYU0000009,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T07:23:00,2026-06-08T08:54:00,2026-06-09T22:00:00,0,"[""VRYU0000009:GATE_READY""]",488
XSSU0000014:DISCHARGE,XSSU0000014,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:32:00,2026-06-08T07:50:00,2026-06-09T19:30:00,0,[],382
BHSU0000011:GATE_READY,BHSU0000011,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:34:00,2026-06-08T07:43:00,2026-06-10T13:12:00,0,"[""BHSU0000011:DISCHARGE""]",382
CMDU0000003:RECEIVE,CMDU0000003,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T07:36:00,2026-06-08T08:18:00,2026-06-10T13:24:00,0,"[""CMDU0000003:DRAY_IN""]",372
RHSU0000013:DISCHARGE,RHSU0000013,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:39:00,2026-06-08T07:59:00,2026-06-09T15:24:00,0,[],381
BHSU0000011:DRAY_IN,BHSU0000011,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T07:43:00,2026-06-08T09:03:00,2026-06-10T13:12:00,0,"[""BHSU0000011:GATE_READY""]",373
AMIU0000017:DISCHARGE,AMIU0000017,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:48:00,2026-06-08T08:04:00,2026-06-10T11:48:00,0,[],381
AXIU0000001:CROSSDOCK,AXIU0000001,warehouse_crossdock,WH-01,WH-01_CROSSDOCK,2026-06-08T07:49:00,2026-06-08T09:01:00,2026-06-10T11:12:00,0,"[""AXIU0000001:RECEIVE""]",225
BBSU0000018:DISCHARGE,BBSU0000018,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:54:00,2026-06-08T08:07:00,2026-06-09T14:54:00,0,[],400
ARGU0000002:RECEIVE,ARGU0000002,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T07:56:00,2026-06-08T08:25:00,2026-06-10T13:18:00,0,"[""ARGU0000002:DRAY_IN""]",244
HSTU0000019:DISCHARGE,HSTU0000019,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:00:00,2026-06-08T08:16:00,2026-06-10T08:00:00,0,[],457
EVUU0000020:DISCHARGE,EVUU0000020,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:06:00,2026-06-08T08:26:00,2026-06-10T04:06:00,0,[],424
BBSU0000018:GATE_READY,BBSU0000018,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:07:00,2026-06-08T08:17:00,2026-06-09T14:54:00,0,"[""BBSU0000018:DISCHARGE""]",387
YYBU0000006:RECEIVE,YYBU0000006,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T08:11:00,2026-06-08T08:56:00,2026-06-09T20:42:00,0,"[""YYBU0000006:DRAY_IN""]",445
HSTU0000019:GATE_READY,HSTU0000019,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:16:00,2026-06-08T08:23:00,2026-06-10T08:00:00,0,"[""HSTU0000019:DISCHARGE""]",441
BBSU0000018:DRAY_IN,BBSU0000018,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T08:17:00,2026-06-08T09:06:00,2026-06-09T14:54:00,0,"[""BBSU0000018:GATE_READY""]",377
SGWU0000004:GATE_READY,SGWU0000004,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:17:00,2026-06-08T08:26:00,2026-06-09T14:30:00,0,"[""SGWU0000004:DISCHARGE""]",370
CMDU0000003:STORAGE_PICK,CMDU0000003,warehouse_storage_pick,WH-02,WH-02_CROSSDOCK,2026-06-08T08:18:00,2026-06-08T11:03:00,2026-06-10T13:24:00,0,"[""CMDU0000003:RECEIVE""]",330
BDEU0000008:GATE_READY,BDEU0000008,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:23:00,2026-06-08T08:33:00,2026-06-09T14:54:00,0,"[""BDEU0000008:DISCHARGE""]",370
HSTU0000019:DRAY_IN,HSTU0000019,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T08:23:00,2026-06-08T09:50:00,2026-06-10T08:00:00,0,"[""HSTU0000019:GATE_READY""]",434
EVUU0000020:GATE_READY,EVUU0000020,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:26:00,2026-06-08T08:33:00,2026-06-10T04:06:00,0,"[""EVUU0000020:DISCHARGE""]",404
SGWU0000004:DRAY_IN,SGWU0000004,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T08:26:00,2026-06-08T09:51:00,2026-06-09T14:30:00,0,"[""SGWU0000004:GATE_READY""]",361
GVIU0000005:RECEIVE,GVIU0000005,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T08:27:00,2026-06-08T09:14:00,2026-06-10T11:36:00,0,"[""GVIU0000005:DRAY_IN""]",434
SREU0000024:DISCHARGE,SREU0000024,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:30:00,2026-06-08T08:52:00,2026-06-10T18:30:00,0,[],401
AMIU0000017:GATE_READY,AMIU0000017,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:33:00,2026-06-08T08:40:00,2026-06-10T11:48:00,0,"[""AMIU0000017:DISCHARGE""]",365
BDEU0000008:DRAY_IN,BDEU0000008,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T08:33:00,2026-06-08T09:34:00,2026-06-09T14:54:00,0,"[""BDEU0000008:GATE_READY""]",360
EVUU0000020:DRAY_IN,EVUU0000020,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T08:33:00,2026-06-08T09:50:00,2026-06-10T04:06:00,0,"[""EVUU0000020:GATE_READY""]",397
TXEU0000025:DISCHARGE,TXEU0000025,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:36:00,2026-06-08T09:00:00,2026-06-09T14:36:00,0,[],468
AMIU0000017:DRAY_IN,AMIU0000017,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T08:40:00,2026-06-08T09:28:00,2026-06-10T11:48:00,0,"[""AMIU0000017:GATE_READY""]",358
XSSU0000014:GATE_READY,XSSU0000014,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:40:00,2026-06-08T08:48:00,2026-06-09T19:30:00,0,"[""XSSU0000014:DISCHARGE""]",364
XSSU0000014:DRAY_IN,XSSU0000014,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T08:48:00,2026-06-08T10:00:00,2026-06-09T19:30:00,0,"[""XSSU0000014:GATE_READY""]",356
SREU0000024:GATE_READY,SREU0000024,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:52:00,2026-06-08T08:59:00,2026-06-10T18:30:00,0,"[""SREU0000024:DISCHARGE""]",379
NLXU0000028:DISCHARGE,NLXU0000028,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T08:54:00,2026-06-08T09:06:00,2026-06-10T02:54:00,0,[],406
VRYU0000009:RECEIVE,VRYU0000009,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T08:54:00,2026-06-08T09:27:00,2026-06-09T22:00:00,0,"[""VRYU0000009:DRAY_IN""]",397
YYBU0000006:STORAGE_PICK,YYBU0000006,warehouse_storage_pick,WH-01,WH-01_CROSSDOCK,2026-06-08T08:56:00,2026-06-08T12:33:00,2026-06-09T20:42:00,0,"[""YYBU0000006:RECEIVE""]",400
SREU0000024:DRAY_IN,SREU0000024,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T08:59:00,2026-06-08T10:26:00,2026-06-10T18:30:00,0,"[""SREU0000024:GATE_READY""]",372
TXEU0000025:GATE_READY,TXEU0000025,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:00:00,2026-06-08T09:11:00,2026-06-09T14:36:00,0,"[""TXEU0000025:DISCHARGE""]",444
XXXU0000029:DISCHARGE,XXXU0000029,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:00:00,2026-06-08T09:13:00,2026-06-10T20:00:00,0,[],365
AXIU0000001:OUTBOUND,AXIU0000001,warehouse_outbound,WH-01,WH-01_OUTBOUND,2026-06-08T09:01:00,2026-06-08T09:33:00,2026-06-10T11:12:00,0,"[""AXIU0000001:CROSSDOCK""]",153
BHSU0000011:RECEIVE,BHSU0000011,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T09:03:00,2026-06-08T09:33:00,2026-06-10T13:12:00,0,"[""BHSU0000011:DRAY_IN""]",293
BBSU0000018:RECEIVE,BBSU0000018,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T09:06:00,2026-06-08T09:52:00,2026-06-09T14:54:00,0,"[""BBSU0000018:DRAY_IN""]",328
NLXU0000028:GATE_READY,NLXU0000028,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:06:00,2026-06-08T09:17:00,2026-06-10T02:54:00,0,"[""NLXU0000028:DISCHARGE""]",394
TXEU0000025:DRAY_IN,TXEU0000025,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T09:11:00,2026-06-08T10:43:00,2026-06-09T14:36:00,0,"[""TXEU0000025:GATE_READY""]",433
STUU0000031:DISCHARGE,STUU0000031,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:12:00,2026-06-08T09:26:00,2026-06-09T21:12:00,0,[],505
RHSU0000013:GATE_READY,RHSU0000013,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:13:00,2026-06-08T09:20:00,2026-06-09T15:24:00,0,"[""RHSU0000013:DISCHARGE""]",361
NLXU0000028:DRAY_IN,NLXU0000028,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T09:17:00,2026-06-08T10:29:00,2026-06-10T02:54:00,0,"[""NLXU0000028:GATE_READY""]",383
KCYU0000032:DISCHARGE,KCYU0000032,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:18:00,2026-06-08T09:37:00,2026-06-09T19:18:00,0,[],540
RHSU0000013:DRAY_IN,RHSU0000013,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T09:20:00,2026-06-08T10:22:00,2026-06-09T15:24:00,0,"[""RHSU0000013:GATE_READY""]",354
SGWU0000033:DISCHARGE,SGWU0000033,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:24:00,2026-06-08T09:39:00,2026-06-10T11:24:00,0,[],498
VRYU0000009:STORAGE_PICK,VRYU0000009,warehouse_storage_pick,WH-02,WH-02_CROSSDOCK,2026-06-08T09:27:00,2026-06-08T13:05:00,2026-06-09T22:00:00,0,"[""VRYU0000009:RECEIVE""]",364
AMIU0000017:RECEIVE,AMIU0000017,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T09:28:00,2026-06-08T10:11:00,2026-06-10T11:48:00,0,"[""AMIU0000017:DRAY_IN""]",310
DOEU0000034:DISCHARGE,DOEU0000034,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:30:00,2026-06-08T09:50:00,2026-06-10T01:30:00,0,[],492
AXIU0000001:DRAY_OUT,AXIU0000001,drayage_delivery,NETWORK,DRAYAGE_TRUCKS,2026-06-08T09:33:00,2026-06-08T10:55:00,2026-06-10T11:12:00,0,"[""AXIU0000001:OUTBOUND""]",121
BHSU0000011:CROSSDOCK,BHSU0000011,warehouse_crossdock,WH-01,WH-01_CROSSDOCK,2026-06-08T09:33:00,2026-06-08T10:51:00,2026-06-10T13:12:00,0,"[""BHSU0000011:RECEIVE""]",263
BDEU0000008:RECEIVE,BDEU0000008,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T09:34:00,2026-06-08T10:16:00,2026-06-09T14:54:00,0,"[""BDEU0000008:DRAY_IN""]",299
KCYU0000032:GATE_READY,KCYU0000032,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:37:00,2026-06-08T09:47:00,2026-06-09T19:18:00,0,"[""KCYU0000032:DISCHARGE""]",521
STUU0000031:GATE_READY,STUU0000031,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:39:00,2026-06-08T09:50:00,2026-06-09T21:12:00,0,"[""STUU0000031:DISCHARGE""]",491
KCYU0000032:DRAY_IN,KCYU0000032,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T09:47:00,2026-06-08T11:21:00,2026-06-09T19:18:00,0,"[""KCYU0000032:GATE_READY""]",511
SGWU0000033:GATE_READY,SGWU0000033,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:47:00,2026-06-08T09:54:00,2026-06-10T11:24:00,0,"[""SGWU0000033:DISCHARGE""]",483
DOEU0000034:GATE_READY,DOEU0000034,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:50:00,2026-06-08T09:59:00,2026-06-10T01:30:00,0,"[""DOEU0000034:DISCHARGE""]",472
EVUU0000020:RECEIVE,EVUU0000020,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T09:50:00,2026-06-08T10:23:00,2026-06-10T04:06:00,0,"[""EVUU0000020:DRAY_IN""]",320
HSTU0000019:RECEIVE,HSTU0000019,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T09:50:00,2026-06-08T10:37:00,2026-06-10T08:00:00,0,"[""HSTU0000019:DRAY_IN""]",347
SMPU0000037:DISCHARGE,SMPU0000037,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:50:00,2026-06-08T10:13:00,2026-06-10T18:48:00,0,[],447
STUU0000031:DRAY_IN,STUU0000031,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T09:50:00,2026-06-08T10:40:00,2026-06-09T21:12:00,0,"[""STUU0000031:GATE_READY""]",480
SGWU0000004:RECEIVE,SGWU0000004,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T09:51:00,2026-06-08T10:42:00,2026-06-09T14:30:00,0,"[""SGWU0000004:DRAY_IN""]",276
SGWU0000033:DRAY_IN,SGWU0000033,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T09:54:00,2026-06-08T11:23:00,2026-06-10T11:24:00,0,"[""SGWU0000033:GATE_READY""]",476
WEWU0000036:DISCHARGE,WEWU0000036,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T09:54:00,2026-06-08T10:09:00,2026-06-10T08:42:00,0,[],396
DOEU0000034:DRAY_IN,DOEU0000034,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T09:59:00,2026-06-08T10:54:00,2026-06-10T01:30:00,0,"[""DOEU0000034:GATE_READY""]",463
UNEU0000039:DISCHARGE,UNEU0000039,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:00:00,2026-06-08T10:17:00,2026-06-10T02:00:00,0,[],387
XSSU0000014:RECEIVE,XSSU0000014,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T10:00:00,2026-06-08T10:38:00,2026-06-09T19:30:00,0,"[""XSSU0000014:DRAY_IN""]",284
HUIU0000035:DISCHARGE,HUIU0000035,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:09:00,2026-06-08T10:26:00,2026-06-09T17:36:00,0,[],381
SMPU0000037:GATE_READY,SMPU0000037,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:13:00,2026-06-08T10:23:00,2026-06-10T18:48:00,0,"[""SMPU0000037:DISCHARGE""]",424
WEWU0000036:GATE_READY,WEWU0000036,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:17:00,2026-06-08T10:29:00,2026-06-10T08:42:00,0,"[""WEWU0000036:DISCHARGE""]",381
RHSU0000013:RECEIVE,RHSU0000013,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T10:22:00,2026-06-08T11:08:00,2026-06-09T15:24:00,0,"[""RHSU0000013:DRAY_IN""]",292
NPAU0000038:DISCHARGE,NPAU0000038,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:23:00,2026-06-08T10:43:00,2026-06-09T20:54:00,0,[],375
SMPU0000037:DRAY_IN,SMPU0000037,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T10:23:00,2026-06-08T11:46:00,2026-06-10T18:48:00,0,"[""SMPU0000037:GATE_READY""]",414
SREU0000024:RECEIVE,SREU0000024,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T10:26:00,2026-06-08T10:54:00,2026-06-10T18:30:00,0,"[""SREU0000024:DRAY_IN""]",285
UNEU0000039:GATE_READY,UNEU0000039,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:26:00,2026-06-08T10:38:00,2026-06-10T02:00:00,0,"[""UNEU0000039:DISCHARGE""]",370
NLXU0000028:RECEIVE,NLXU0000028,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T10:29:00,2026-06-08T10:54:00,2026-06-10T02:54:00,0,"[""NLXU0000028:DRAY_IN""]",311
PAXU0000040:DISCHARGE,PAXU0000040,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:29:00,2026-06-08T10:44:00,2026-06-10T12:06:00,0,[],366
WEWU0000036:DRAY_IN,WEWU0000036,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T10:29:00,2026-06-08T11:40:00,2026-06-10T08:42:00,0,"[""WEWU0000036:GATE_READY""]",369
HUIU0000035:GATE_READY,HUIU0000035,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:38:00,2026-06-08T10:46:00,2026-06-09T17:36:00,0,"[""HUIU0000035:DISCHARGE""]",364
UNEU0000039:DRAY_IN,UNEU0000039,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T10:38:00,2026-06-08T11:47:00,2026-06-10T02:00:00,0,"[""UNEU0000039:GATE_READY""]",358
STUU0000031:RECEIVE,STUU0000031,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T10:40:00,2026-06-08T11:14:00,2026-06-09T21:12:00,0,"[""STUU0000031:DRAY_IN""]",430
OEIU0000007:DISCHARGE,OEIU0000007,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:43:00,2026-06-08T11:01:00,2026-06-09T20:48:00,0,[],363
TXEU0000025:RECEIVE,TXEU0000025,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T10:43:00,2026-06-08T11:33:00,2026-06-09T14:36:00,0,"[""TXEU0000025:DRAY_IN""]",341
WDMU0000026:DISCHARGE,WDMU0000026,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:44:00,2026-06-08T11:08:00,2026-06-10T16:42:00,0,[],363
HUIU0000035:DRAY_IN,HUIU0000035,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T10:46:00,2026-06-08T12:05:00,2026-06-09T17:36:00,0,"[""HUIU0000035:GATE_READY""]",356
NPAU0000038:GATE_READY,NPAU0000038,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:46:00,2026-06-08T10:52:00,2026-06-09T20:54:00,0,"[""NPAU0000038:DISCHARGE""]",355
BHSU0000011:OUTBOUND,BHSU0000011,warehouse_outbound,WH-01,WH-01_OUTBOUND,2026-06-08T10:51:00,2026-06-08T11:32:00,2026-06-10T13:12:00,0,"[""BHSU0000011:CROSSDOCK""]",185
NPAU0000038:DRAY_IN,NPAU0000038,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T10:52:00,2026-06-08T12:02:00,2026-06-09T20:54:00,0,"[""NPAU0000038:GATE_READY""]",349
OZRU0000016:DISCHARGE,OZRU0000016,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T10:52:00,2026-06-08T11:11:00,2026-06-09T15:42:00,0,[],352
DOEU0000034:RECEIVE,DOEU0000034,warehouse_receive,WH-02,WH-02_RECEIVING,2026-06-08T10:54:00,2026-06-08T11:42:00,2026-06-10T01:30:00,0,"[""DOEU0000034:DRAY_IN""]",408
AXIU0000001:DELIVERY,AXIU0000001,customer_delivery,CUSTOMER-NETWORK,CUSTOMER_DOCKS,2026-06-08T10:55:00,2026-06-08T11:34:00,2026-06-10T11:12:00,0,"[""AXIU0000001:DRAY_OUT""]",39
XXXU0000029:GATE_READY,XXXU0000029,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T11:01:00,2026-06-08T11:12:00,2026-06-10T20:00:00,0,"[""XXXU0000029:DISCHARGE""]",352
CMDU0000003:OUTBOUND,CMDU0000003,warehouse_outbound,WH-02,WH-02_OUTBOUND,2026-06-08T11:03:00,2026-06-08T11:48:00,2026-06-10T13:24:00,0,"[""CMDU0000003:STORAGE_PICK""]",165
PAXU0000040:GATE_READY,PAXU0000040,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T11:08:00,2026-06-08T11:15:00,2026-06-10T12:06:00,0,"[""PAXU0000040:DISCHARGE""]",351
KYEU0000023:DISCHARGE,KYEU0000023,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T11:11:00,2026-06-08T11:24:00,2026-06-10T12:24:00,0,[],350
NGRU0000012:DISCHARGE,NGRU0000012,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T11:12:00,2026-06-08T11:31:00,2026-06-10T09:18:00,0,[],347
XXXU0000029:DRAY_IN,XXXU0000029,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T11:12:00,2026-06-08T12:16:00,2026-06-10T20:00:00,0,"[""XXXU0000029:GATE_READY""]",341
STUU0000031:STORAGE_PICK,STUU0000031,warehouse_storage_pick,WH-02,WH-02_CROSSDOCK,2026-06-08T11:14:00,2026-06-08T14:55:00,2026-06-09T21:12:00,0,"[""STUU0000031:RECEIVE""]",396
OEIU0000007:GATE_READY,OEIU0000007,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T11:15:00,2026-06-08T11:23:00,2026-06-09T20:48:00,0,"[""OEIU0000007:DISCHARGE""]",345
PAXU0000040:DRAY_IN,PAXU0000040,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T11:15:00,2026-06-08T12:01:00,2026-06-10T12:06:00,0,"[""PAXU0000040:GATE_READY""]",344
KCYU0000032:RECEIVE,KCYU0000032,warehouse_receive,WH-01,WH-01_RECEIVING,2026-06-08T11:21:00,2026-06-08T11:48:00,2026-06-09T19:18:00,0,"[""KCYU0000032:DRAY_IN""]",417
